art,52
some,31
those,33
still,41
hope,6
travel,3
cures,1
ransom,2
spoil,1
tresses,1
few,1
forgetful,1
harder,1
tripping,1
parts,7
pleasing,2
painted,5
filled,3
often,2
defeated,1
couplement,1
scorn,2
nights,2
penury,1
spheres,1
import,1
registers,1
detain,1
fawn,1
lies,12
decay,9
lark,1
basest,3
deeds,10
watch,2
travelled,1
achieve,1
map,2
sail,3
equal,1
lords,2
growth,3
afterwards,1
bevel,1
flowers,8
violet,2
babe,4
perspective,1
ye,2
slow,4
tires,1
servant,2
character,3
showers,2
spending,1
overthrow,1
prevent,2
coral,1
valley,1
mak,2
traffic,1
leave,10
grow,11
evil,4
wink,2
utmost,1
remedy,2
worths,1
debate,1
falls,1
brightness,1
used,3
day,26
concord,2
among,3
hence,6
intend,1
sense,4
subject,5
quest,2
unto,1
lips,7
render,2
thou,235
breed,2
unions,1
endowed,1
astronomy,1
even,24
pride,11
naked,1
disperse,1
extern,1
raised,1
repair,3
womb,2
did,26
methinks,4
fleet,1
mountain,2
whether,7
outlive,3
space,1
pine,3
got,3
transferred,1
dart,1
tombed,1
two,9
invent,2
us,2
motion,5
compounds,2
worthless,2
slept,1
counterpart,1
remembered,4
crime,4
lack,4
anon,2
present,7
recite,1
possessing,2
vacant,1
stern,1
insults,1
livery,1
loan,1
father,2
ne,4
purpose,5
tend,3
discloses,1
hasten,1
robbing,1
crow,2
halt,1
siren,1
senses,1
loveliness,1
termed,1
rondure,1
physic,2
sensual,2
interchange,1
honey,1
perceiv,1
rainy,1
engrossed,1
act,1
within,11
shame,10
fond,2
rich,11
burn,3
speaking,4
favour,3
wilful,2
mend,3
vice,1
dove,1
borrowed,2
field,1
him,38
could,10
toward,1
men,21
brood,1
perfect,3
length,1
account,4
promise,1
thorns,3
thief,4
losing,3
injurious,2
settled,1
ensconce,1
uprear,1
set,7
outworn,2
kingdom,1
flower,5
always,1
progress,1
plain,1
welfare,1
feil,1
becoming,2
buy,1
joy,8
wet,1
thunder,1
constant,3
wrought,2
weakens,1
offender,1
usest,1
greatest,1
hungry,2
tame,1
uttering,1
debt,1
mistaking,1
fester,1
office,1
appears,1
crests,1
saint,1
dian,1
climbed,1
cherish,1
pen,10
moon,3
burthen,2
disgrace,8
name,17
smother,1
bail,2
twixt,2
variation,1
goodly,1
uncertain,1
trial,1
copy,2
sea,5
vulgar,3
tenants,1
inherit,1
betray,2
everywhere,2
rise,2
goddess,2
reeks,1
dying,1
commanded,1
who,30
seal,1
beauties,4
luck,1
rights,1
oppression,1
seen,11
down,5
wards,1
beast,2
extremity,1
special,2
hell,8
pebbled,1
soil,2
ruin,1
showing,1
acquaintance,3
wilfully,1
moods,1
wantonness,1
orphans,1
amends,1
adder,1
rid,1
physician,1
not,167
low,1
put,8
labouring,1
knife,4
boy,3
foist,1
selling,1
couldst,1
unthrifty,1
show,24
faces,2
imperfect,1
chest,3
deem,1
ambush,1
enjoyer,1
enfeebled,1
garments,2
certain,1
bore,2
revenues,1
exceeds,1
will,64
praise,28
shape,5
lion,1
rare,4
glazed,1
endeared,1
fountains,1
horse,2
root,2
eternity,3
workings,1
pleasant,1
dig,1
form,11
wife,1
carved,1
gilding,2
toiled,1
straying,1
because,3
sure,3
greet,3
feeding,3
envy,2
wing,1
struck,1
wretchcd,1
wounded,1
touch,1
winters,2
fore,2
sweets,6
girded,1
lose,9
pattern,2
process,1
slandered,1
situation,1
preserve,1
quenched,1
by,94
